episode,show,tstart,tend,instance,bit,location_type,location_id,updated_at,elucidation,url_soundcloud,tagarray,tags,tagarray_og,tagarray 1,tagarray 2,tagarray 3,tagarray 4,tagarray 5,tagarray 6,tagarray 7,tagarray 8,tagarray 9,tagarray 10,created_at,slug_soundcloud,slug_earwolf,id_wikia,time,holding
35,cbb,53:33,53:40,This is people's favorite part of the show.,Favorite Feature,,,2015-10-16T10:51:29Z,consistently the most popular feature of cbb,http://soundcloud.com/comedybangbang/and-a-happy-new-year/#t=53:33,Little Gary,Little Gary,,Little Gary,,,,,,,,,,2015-04-03T10:51:29Z,and-a-happy-new-year,and-a-happy-new-year,2499,53:33:00,false
36,cbb,21:04,21:17,Have any of y'all ever had a meeting with The Devil?,The Devil Went Down to Georgia,,,2015-10-16T10:51:29Z,the charlie daniels devil/georgia scenario is referenced or debated,http://soundcloud.com/comedybangbang/another-cyberthug-take-over/#t=21:04,"Charlie Daniels Band,Cyber Thug,Miles Archer,Kanye East","Kanye East,Miles Archer,Cyber Thug,Charlie Daniels Band",,Charlie Daniels Band,Cyber Thug,Miles Archer,Kanye East,,,,,,,2015-04-03T10:51:29Z,another-cyberthug-take-over,another-cyberthug-take-over,2500,21:04,false
37,cbb,20:55,21:04,Sarah spoke the titular line.,Titular,,,2015-10-16T10:51:29Z,the titular 'titular',http://soundcloud.com/comedybangbang/exclusive-prince-interview/#t=20:55,,,,,,,,,,,,,,2015-04-03T10:51:29Z,exclusive-prince-interview,exclusive-prince-interview,2502,20:55,false
52,cbb,8:22,8:38,that sexy French movie,Boo,,,2015-10-16T10:51:29Z,haunting or heckling?,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=8:22,,,,,,,,,,,,,,2015-04-03T10:51:29Z,introducing-the-japan-dogs,introducing-the-japan-dogs,2619,8:22,false
52,cbb,27:55,28:08,seven days of 24 hours,Sounds Like Four,,,2015-10-16T10:51:29Z,scott does math,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=27:55,,,,,,,,,,,,,,2015-04-03T10:51:29Z,introducing-the-japan-dogs,introducing-the-japan-dogs,2619,27:55:00,false
52,cbb,49:22,49:45,Is it a joke that the intro's so long?,WYR Theme Chatter,,,2015-10-16T10:51:29Z,somebody talks over the wyr intro,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=49:22,,,,,,,,,,,,,,2015-04-03T10:51:29Z,introducing-the-japan-dogs,introducing-the-japan-dogs,2619,49:22:00,false
52,cbb,1:08:10,1:08:30,But I could also take it back to the lab.,Location,poly,83,2015-11-13T06:44:49Z,,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=1:08:10,,,,,,,,,,,,,,2015-04-03T10:51:29Z,introducing-the-japan-dogs,introducing-the-japan-dogs,2619,1:08:10,false
53,cbb,41:01:00,41:21:00,Goddammit I want to know how much money you make.,What's Your Address?,,,2015-10-16T10:51:29Z,scott asks an inappropriately personal question,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=41:01,,,,,,,,,,,,,,2015-04-03T10:51:29Z,a-cover-of-a-parody,a-cover-of-a-parody,2627,41:01:00,false
53,cbb,57:33,58:00,This is textbook...WYR.,Textbook WYR,,,2015-10-16T10:51:29Z,someone expertly plays wyr,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=57:33,,,,,,,,,,,,,,2015-04-03T10:51:29Z,a-cover-of-a-parody,a-cover-of-a-parody,2627,57:33:00,false
53,cbb,1:03:47,1:03:59,Weird Al is buying that Kazakhstani is a language.,"Yes, And...",,,2015-10-16T10:51:29Z,"the rule of 'yes, and' is invoked or abused",http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=1:03:47,,,,,,,,,,,,,,2015-04-03T10:51:29Z,a-cover-of-a-parody,a-cover-of-a-parody,2627,1:03:47,false
