epno,time,tstart,tend,instance,bit,elucidation,tagarray,tagarray 1,tagarray 2,tagarray 3,tagarray 4,tagarray 5,tagarray 6,soundcloud_slug,soundcloud_url
107,57:33,57:33,57:50,Musical Guest - Ellen Cleghorne!,Don Pardo,,,Don Pardo,Ellen Cleghorne,,,,,maybe-its-maybelline,http://soundcloud.com/comedybangbang/maybe-its-maybelline/#t=57:33
107,59:43,59:50,1:00:02,Musical Guest!,Don Pardo,,,Don Pardo,Marv Albert,,,,,maybe-its-maybelline,http://soundcloud.com/comedybangbang/maybe-its-maybelline/#t=59:43
107,1:03:38,1:03:38,1:03:49,Musical Guest!,Don Pardo,,,Don Pardo,Marv Albert,,,,,maybe-its-maybelline,http://soundcloud.com/comedybangbang/maybe-its-maybelline/#t=1:03:38
136,18:10,18:10,18:30,Bill Hader!,Don Pardo,,,Don Pardo,Bill Hader,,,,,2011-holiday-spectacular,http://soundcloud.com/comedybangbang/2011-holiday-spectacular/#t=18:10
162,9:16,9:16,9:26,It's Saturday Night Pre-Taped!,Don Pardo,,,Don Pardo,,,,,,best-bro-hang,http://soundcloud.com/comedybangbang/best-bro-hang/#t=9:16
309,13:29,13:29,13:46,Nasim Pedrad!,Don Pardo,,,Don Pardo,Nasim Pedrad,,,,,309-nick-kroll-jimmy-pardo-claudia-odoherty,http://soundcloud.com/comedybangbang/309-nick-kroll-jimmy-pardo-claudia-odoherty/#t=13:29
309,13:39,13:39,13:45,Musical guest!,Don Pardo,,,Don Pardo,,,,,,309-nick-kroll-jimmy-pardo-claudia-odoherty,http://soundcloud.com/comedybangbang/309-nick-kroll-jimmy-pardo-claudia-odoherty/#t=13:39
309,16:33,16:33,16:45,Nasim Pedrad!,Don Pardo,,,Don Pardo,Nasim Pedrad,,,,,309-nick-kroll-jimmy-pardo-claudia-odoherty,http://soundcloud.com/comedybangbang/309-nick-kroll-jimmy-pardo-claudia-odoherty/#t=16:33
309,19:14,19:14,19:27,The one time I cheated on my wife with Nasim Pedrad!,Don Pardo,,,Don Pardo,Nasim Pedrad,,,,,309-nick-kroll-jimmy-pardo-claudia-odoherty,http://soundcloud.com/comedybangbang/309-nick-kroll-jimmy-pardo-claudia-odoherty/#t=19:14
313,:26,0:26,0:36,Musical Guest - Paul Banks!,Don Pardo,,,Don Pardo,,,,,,313-ben-schwartz-horatio-sanz-paul-banks,http://soundcloud.com/comedybangbang/313-ben-schwartz-horatio-sanz-paul-banks/#t=0:26
313,49:15,49:15,49:25,Nasim Pedrad!,Don Pardo,,,Don Pardo,Nasim Pedrad,,,,,313-ben-schwartz-horatio-sanz-paul-banks,http://soundcloud.com/comedybangbang/313-ben-schwartz-horatio-sanz-paul-banks/#t=49:15
321,34:11,34:11,34:18,Nasim Pedrad!,Don Pardo,,,Don Pardo,Nasim Pedrad,,,,,321-ana-gasteyer-jon-gabrus-mookie-blaiklock,http://soundcloud.com/comedybangbang/321-ana-gasteyer-jon-gabrus-mookie-blaiklock/#t=34:11
327,8:00,8:00,8:16,Horatio Sanz is here for one week!,Don Pardo,,,Don Pardo,,,,,,327-ben-schwartz-horatio-sanz,http://soundcloud.com/comedybangbang/327-ben-schwartz-horatio-sanz/#t=8:00
327,8:20,8:20,8:26,Laraine Newman!,Don Pardo,,,Don Pardo,Laraine Newman,,,,,327-ben-schwartz-horatio-sanz,http://soundcloud.com/comedybangbang/327-ben-schwartz-horatio-sanz/#t=8:20
327,42:13,42:13,42:45,Hugh Downs!,Don Pardo,,,Don Pardo,Hugh Downs,,,,,327-ben-schwartz-horatio-sanz,http://soundcloud.com/comedybangbang/327-ben-schwartz-horatio-sanz/#t=42:13
327,42:45,42:45,43:22,One of you kids gave me AIDS!,Don Pardo,,,Don Pardo,,,,,,327-ben-schwartz-horatio-sanz,http://soundcloud.com/comedybangbang/327-ben-schwartz-horatio-sanz/#t=42:45
363,1:29:45-1:30:14,1:29:45,1:30:14,Molly Shannon!,Don Pardo,,,Don Pardo,Molly Shannon,,,,,363-david-wain-rich-sommer-molly-shannon-marguerite-moreau,http://soundcloud.com/comedybangbang/363-david-wain-rich-sommer-molly-shannon-marguerite-moreau/#t=1:29:45
