epno,time,tstart,tend,instance,bit,elucidation,soundcloud_url,tagarray,tagarray 1,tagarray 2,tagarray 3,tagarray 4,tagarray 5,tagarray 6,soundcloud_slug,location_type,location_id,slug_earwolf,id_wikia
35,53:33:00,53:33:00,53:40:00,This is people's favorite part of the show.,Our most popular feature of all time.,,http://soundcloud.com/comedybangbang/and-a-happy-new-year/#t=53:33,,Little Gary,,,,,,and-a-happy-new-year,,,,
36,21:04,21:04,21:17,Have any of y'all ever had a meeting with The Devil?,The Devil Went Down to Georgia,,http://soundcloud.com/comedybangbang/another-cyberthug-take-over/#t=21:04,,Charlie Daniels Band,Cyber Thug,Miles Archer,Kanye East,,,another-cyberthug-take-over,,,,
37,20:55,20:55,21:04,Sarah spoke the titular line.,titular,,http://soundcloud.com/comedybangbang/exclusive-prince-interview/#t=20:55,,,,,,,,exclusive-prince-interview,,,,
52,8:22,8:22,8:38,that sexy French movie,Boo,it's unclear if somebody is booing something or if there's a ghost in the studio,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=8:22,,,,,,,,introducing-the-japan-dogs,,,,
52,27:55:00,27:55:00,28:08:00,seven days of 24 hours,Sounds like four.,Scott does quick math,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=27:55,,,,,,,,introducing-the-japan-dogs,,,,
52,49:22:00,49:22:00,49:45:00,Is it a joke that the intro's so long?,WYR Intro,somebody talks over the WYR intro,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=49:22,,,,,,,,introducing-the-japan-dogs,,,,
52,1:08:10,1:08:10,1:08:30,Harris' lab (Burbank),location,,http://soundcloud.com/comedybangbang/introducing-the-japan-dogs/#t=1:08:10,,,,,,,,introducing-the-japan-dogs,,,,
53,41:01:00,41:01:00,41:21:00,Goddammit I want to know how much money you make.,What's your address?,Scott asks a remarkably personal question.,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=41:01,,,,,,,,a-cover-of-a-parody,,,,
53,57:33:00,57:33:00,58:00:00,This is textbook...WYR.,This is how we play WYR.,,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=57:33,,,,,,,,a-cover-of-a-parody,,,,
53,1:03:47,1:03:47,1:03:59,Weird Al is buying that Kazakhstani is a language.,"Yes, and...",,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=1:03:47,,,,,,,,a-cover-of-a-parody,,,,
53,1:10:13,1:10:13,1:10:33,You were in there with many questions; you were in there early; you didn't vote before was asked for a vote...,Textbook WYR,,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=1:10:13,,,,,,,,a-cover-of-a-parody,,,,
53,1:11:10,1:11:10,1:11:22,"Al, be quiet. The song's not over.",Shh.,,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=1:11:10,,,,,,,,a-cover-of-a-parody,,,,
53,1:12:42,1:12:42,1:13:40,We've been doing this feature for a while.,Our most popular feature of all time.,,http://soundcloud.com/comedybangbang/a-cover-of-a-parody/#t=1:12:42,,,,,,,,a-cover-of-a-parody,,,,
54,14:52,14:52,15:09,Marc and Scott actually put their hands behind their backs.,verisimilitude,,http://soundcloud.com/comedybangbang/the-wacky-ding-dongs/#t=14:52,,,,,,,,the-wacky-ding-dongs,,,,
54,1:08:50,1:08:50,1:09:32,People don't listen to the show...,Our most popular feature of all time.,,http://soundcloud.com/comedybangbang/the-wacky-ding-dongs/#t=1:08:50,,,,,,,,the-wacky-ding-dongs,,,,
55,26:40:00,26:40:00,29:28:00,"Mostly unregistered, uncredited, self-proclaimed therapists: Niles Wong; Clive Buttertable; Chester Yakamora; Deforest Carmichael; Lancaster Donovon; Arturo Ripstein; Bentley Hubspith; Malcolm-Jamal Warner; Blaine Capatch; Patton Oswalt; Paul F. Tompkins; Leonard Lopate; Larry Mantle; Brian Lehrer; Steve Inskeep; Bob Edwards; Robert Siegel; Marco Warner; Soterios Johnson; Jason Bentley; Kai Ryssdal; Roald Dahl; Sandra Tsing Loh; Nolan Taintshucker; Porter Lundt; Cartwright DiMaggio; Alonzo Santana; Mitchell Satriani; Sanjay Ingvay Gupta Moundstein; Sergei Royce; Jacob Modem; Ferlin Husky; Hollis Thumb; Abraxis Hardpickle; Ned Bundy; Grier Harvey Oswald; Sean-John Gacy; Jeffrey Dahmler-Chrysler; Jeremy Aids; Susan Infant Death Syndrome",Ducca List,,http://soundcloud.com/comedybangbang/go-rent-delgo/#t=26:40,,Bob Ducca,,,,,,go-rent-delgo,,,,
55,30:21:00,30:21:00,30:48:00,Bob's therapy: emotional theatre workshops; finger painting; scream therapy; impulsive knitting,Ducca List,,http://soundcloud.com/comedybangbang/go-rent-delgo/#t=30:21,,Bob Ducca,,,,,,go-rent-delgo,,,,
56,1:26,1:26,1:31,"Shut the fuck up, I haven't introduced you yet!",Shut the fuck up!,somebody simply wants somebody else to shut the fuck up,http://soundcloud.com/comedybangbang/is-dave-foley-here/#t=1:26,,,,,,,,is-dave-foley-here,,,,
