epno,time,tstart,tend,instance,bit,elucidation,soundcloud_url,tagarray,tagarray 1,tagarray 2,tagarray 3,tagarray 4,tagarray 5,tagarray 6,soundcloud_slug,location_type,location_id,slug_earwolf,id_wikia
1,,19:55,20:17,come and knock on my door,Three's Company,"a theme song is misremembered, misperformed",,"Three's Company, John Ritter",,,,,,,welcome-to-comedy-bang-bang,,,welcome-to-comedy-bang-bang,2344
1,,2:30,2:57,heroin,Huebel explains why the members of Human Giant are indisposed,someone becomes addicted to heroin,,Human Giant,,,,,,,welcome-to-comedy-bang-bang,,,welcome-to-comedy-bang-bang,2344
1,,31:05:00,35:30:00,Location,Scott and Rob Huebel visit the Back to the Future convention in Burbank,Identifiable earth location.,,,,,,,,,welcome-to-comedy-bang-bang,point,2,welcome-to-comedy-bang-bang,2344
1,,35:40:00,37:27:00,Location,Scott and Rob Huebel visit the Michael Jackson auction in Beverly Hills,Identifiable earth location.,,Michael Jackson,,,,,,,welcome-to-comedy-bang-bang,point,9,welcome-to-comedy-bang-bang,2344
1,,3:04,5:45,you've been hearing him interrupt me,Thomas Lennon speaks before he has been announced.,a guest performs before they're announced,,,,,,,,,welcome-to-comedy-bang-bang,,,welcome-to-comedy-bang-bang,2344
10,,8:29,8:36,who?,Scott has never heard of the show '30 Rock',Someone seems to not know an obvious reference or a very famous person.,,,,,,,,,comedy-vs-music,,,comedy-vs-music,2377
10,,18:51,19:11,Location,Richard Leslie's Bakery for Dogs in L.A.'s Grove,,,Richard Leslie,,,,,,,comedy-vs-music,point,13,comedy-vs-music,2377
10,,2:39,2:59,you've been hearing him interrupt me,Morgan Murphy corrects Scott before she's supposed to even be on.,a guest performs before they're announced,,,,,,,,,comedy-vs-music,,,comedy-vs-music,2377
10,,25:06:00,25:21:00,who or what are you?,Scott assures Richard Leslie that his premise is established.,a character's premise is explained or questioned,,Richard Leslie,,,,,,,comedy-vs-music,,,comedy-vs-music,2377
10,,54:15:00,54:35:00,Location,Todd Wickey needs a bus pass to make it out to Venice to check on his roller blades,Identifiable earth location.,,Todd Wickey,,,,,,,comedy-vs-music,point,15,comedy-vs-music,2377
10,,36:02:00,36:26:00,Batdance,Scott asks Aimee Mann if he can request Batdance at her shows.,"Scott cites, explains, or defends his favorite song",,Prince,,,,,,,comedy-vs-music,,,comedy-vs-music,2377
10,,48:56:00,49:29:00,Location,Todd Wickey needs money to make it up to Shasta for the fast pitch softball semifinals,Identifiable earth location.,,Todd Wickey,,,,,,,comedy-vs-music,poly,218,comedy-vs-music,2377
10,,48:20:00,48:50:00,Location,Scott was hounded by Todd Wickey near his place in Toluca Lake,Identifiable earth location.,,Todd Wickey,,,,,,,comedy-vs-music,poly,61,comedy-vs-music,2377
10,,1:01:07,1:01:30,Weirder Scott,The genesis of Weirder Scott,Scott's pop parodist alter ego,,Weird Al,,,,,,,comedy-vs-music,,,comedy-vs-music,2377
10,,53:20:00,53:51:00,Osama bin Laden's in the zeitgeist,Scott notes that both Todd Wickey (Morris) and Richard Leslie (Morris) share interests in dog retail.,"Somebody's characters cross-pollinate, curiously share characteristics.",,"Richard Leslie, Todd Wickey",,,,,,,comedy-vs-music,,,comedy-vs-music,2377
10,,19:03,19:30,how many are there?,Morgan Murphy prompts Richard Leslie for additional imitators of his dog bakery business.,a pimping subclass: somebody asks for a list of things or prompts for additional items,,Richard Leslie,,,,,,,comedy-vs-music,,,comedy-vs-music,2377
100,,16:19,16:52,heroin,Huebel again explains why the members of Human Giant are indisposed,someone becomes addicted to heroin,,Human Giant,,,,,,,the-big-one-oh-oh,,,the-big-one-oh-oh,2849
100,,12:22,12:37,Batdance,"a beautiful, haunting melody","Scott cites, explains, or defends his favorite song",,Prince,,,,,,,the-big-one-oh-oh,,,the-big-one-oh-oh,2849
101,,46:56:00,47:03:00,Amy Poehler is rude,Casey Wilson hums along.,some asshole talks over the wyr theme.,,Fred Phelps,,,,,,,booked-it,,,booked-it,2888
101,,46:34:00,46:46:00,Amy Poehler is rude,Casey Wilson seems to think the WYR theme is long.,some asshole talks over the wyr theme.,,Fred Phelps,,,,,,,booked-it,,,booked-it,2888
101,,1:05:50,1:06:24,Amy Poehler is rude,Now *nobody* will shut the fuck up.,some asshole talks over the wyr theme.,,Fred Phelps,,,,,,,booked-it,,,booked-it,2888
101,,46:46:00,46:56:00,Amy Poehler is rude,somebody coughs,some asshole talks over the wyr theme.,,Fred Phelps,,,,,,,booked-it,,,booked-it,2888
103,,41:00:00,41:26:00,"yes, and...","Clive Dundee, strangely, has not written songs of his own.","the rule of 'yes, and' is invoked or abused",,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,41:55:00,42:14:00,where are you from?,"Tompkins suggests everybody, not just Clive, relay how they got their last name.",a character detail is challenged or prompted,,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,40:35:00,40:50:00,where are you from?,Clive Dundee finally remembers the year of his birth.,a character detail is challenged or prompted,,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,31:00:00,31:25:00,where are you from?,Clive Dundee isn't sure if he says 'dinner' or 'supper.',a character detail is challenged or prompted,,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,37:25:00,37:35:00,where are you from?,Clive Dundee needs to confirm the questions he's asked.,a character detail is challenged or prompted,,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,37:35:00,37:42:00,where are you from?,Paul asks Clive Dundee in what year he received his driver's license.,a character detail is challenged or prompted,,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,54:52:00,55:11:00,where are you from?,Paul notices that Truck Bastien is never sure if he's being spoken to.,a character detail is challenged or prompted,,Truck Bastien,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,54:32:00,54:53:00,where are you from?,Scott and Paul interrogate Truck Bastien.,a character detail is challenged or prompted,,Truck Bastien,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,37:42:00,37:59:00,where are you from?,Scott asks Clive Dundee for his astrological sign.,a character detail is challenged or prompted,,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,36:41:00,37:34:00,where are you from?,Scott asks Clive Dundee how old he is.,a character detail is challenged or prompted,,Clive Dundee,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,1:52:19,1:52:43,James?,James?,a character is accidentally addressed using the name of its player,,Huell Howser,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,50:02:00,50:21:00,the CBB ODP,Paul has to remind Scott that the CBBODP should extend to Truck Bastien also.,CBB's Open Door Policy is cited or blamed,,Truck Bastien,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,52:51:00,52:59:00,shut the fuck up!,Scott is growing weary of Truck Bastien's aphorisms.,Someone simply wants everyone else to shut the fuck up.,,Truck Bastien,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
103,,52:33:00,52:52:00,that already happened,Tompkins directly references an attempt to live-edit the show,The verisimilitude of the show is referenced or challenged or completely destroyed.,,Truck Bastien,,,,,,,these-times-they-are-a-changin,,,these-times-they-are-a-changin,2115
104,,54:40:00,54:58:00,Amy Poehler is rude,Even the esteemed Paul Feig won't shut up and show some respect.,some asshole talks over the wyr theme.,,,,,,,,,shut-up-dracula,,,shut-up-dracula,2892
105,,1:30:45,1:31:03,the most popular feature of CBB,Sappity doesn't believe.,Consistently the most popular feature of CBB.,,Sappity Tappity,,,,,,,comedy-is-honey,,,comedy-is-honey,2929
106.1,,24:02:00,24:42:00,how many are there?,"Give us a couple, though.",a pimping subclass: somebody asks for a list of things or prompts for additional items,,Cake Boss,,,,,,,its-a-fucking-podcast-pt-1,,,its-a-fucking-podcast-pt-1,2931
106.1,,46:11:00,46:59:00,Who Said It: Michael Jackson,Hee-hee. Shamone. Where's Lisa Marie? Dah! Where 'dem elephant bones? Where's Macaulay? Dah! Shamone. Hoo. Where my glove? Hoo.,A Michael Jackson quote appears in a game of 'Who Said It?',,Cake Boss,,,,,,,its-a-fucking-podcast-pt-1,,,its-a-fucking-podcast-pt-1,2931
