show,episode,slug_earwolf,id_wikia,url_soundcloud,created_at,updated_at,soclo_link,name,desc,elucidation,tags,tstart,tend,holding,scope,location_type,location_id
cbb,1,welcome-to-comedy-bang-bang,2344,welcome-to-comedy-bang-bang,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/welcome-to-comedy-bang-bang/#t=19:55,come and knock on my door,Three's Company,"a theme song is misremembered, misperformed","Three's Company, John Ritter",19:55,20:17,false,,,
cbb,1,welcome-to-comedy-bang-bang,2344,welcome-to-comedy-bang-bang,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/welcome-to-comedy-bang-bang/#t=2:30,heroin,Huebel explains why the members of Human Giant are indisposed,someone becomes addicted to heroin,Human Giant,2:30,2:57,false,,,
cbb,1,welcome-to-comedy-bang-bang,2344,welcome-to-comedy-bang-bang,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/welcome-to-comedy-bang-bang/#t=31:05,Location,Scott and Rob Huebel visit the Back to the Future convention in Burbank,Identifiable earth location.,,31:05,35:30,false,,point,2
cbb,1,welcome-to-comedy-bang-bang,2344,welcome-to-comedy-bang-bang,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/welcome-to-comedy-bang-bang/#t=35:40,Location,Scott and Rob Huebel visit the Michael Jackson auction in Beverly Hills,Identifiable earth location.,Michael Jackson,35:40,37:27,false,,point,9
cbb,1,welcome-to-comedy-bang-bang,2344,welcome-to-comedy-bang-bang,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/welcome-to-comedy-bang-bang/#t=3:04,you've been hearing him interrupt me,Thomas Lennon speaks before he has been announced.,a guest performs before they're announced,,3:04,5:45,false,,,
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=8:29,who?,Scott has never heard of the show '30 Rock',Someone seems to not know an obvious reference or a very famous person.,,8:29,8:36,false,,,
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=18:51,Location,Richard Leslie's Bakery for Dogs in L.A.'s Grove,,Richard Leslie,18:51,19:11,false,,point,13
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=2:39,you've been hearing him interrupt me,Morgan Murphy corrects Scott before she's supposed to even be on.,a guest performs before they're announced,,2:39,2:59,false,,,
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=25:06,who or what are you?,Scott assures Richard Leslie that his premise is established.,a character's premise is explained or questioned,Richard Leslie,25:06,25:21,false,,,
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=54:15,Location,Todd Wickey needs a bus pass to make it out to Venice to check on his roller blades,Identifiable earth location.,Todd Wickey,54:15,54:35,false,,point,15
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=36:02,Batdance,Scott asks Aimee Mann if he can request Batdance at her shows.,"Scott cites, explains, or defends his favorite song",Prince,36:02,36:26,false,,,
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=48:56,Location,Todd Wickey needs money to make it up to Shasta for the fast pitch softball semifinals,Identifiable earth location.,Todd Wickey,48:56,49:29,false,,poly,218
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=48:20,Location,Scott was hounded by Todd Wickey near his place in Toluca Lake,Identifiable earth location.,Todd Wickey,48:20,48:50,false,,poly,61
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=1:01:07,Weirder Scott,The genesis of Weirder Scott,Scott's pop parodist alter ego,Weird Al,1:01:07,1:01:30,false,,,
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=53:20,Osama bin Laden's in the zeitgeist,Scott notes that both Todd Wickey (Morris) and Richard Leslie (Morris) share interests in dog retail.,"Somebody's characters cross-pollinate, curiously share characteristics.","Richard Leslie, Todd Wickey",53:20,53:51,false,,,
