show,episode,slug_earwolf,id_wikia,url_soundcloud,name,desc,elucidation,tags,tstart,tend,location_type,location_id
cbb,1,welcome-to-comedy-bang-bang,2344,,"a theme song is misremembered, misperformed",Three's Company,,"Three's Company, John Ritter",30:20,30:36,,
cbb,1,welcome-to-comedy-bang-bang,2344,,addicted to heroin,Huebel explains why the members of Human Giant are indisposed,,Human Giant,2:30,2:57,,
cbb,1,welcome-to-comedy-bang-bang,2344,,Location,Scott and Rob Huebel visit the Back to the Future convention in Burbank,Identifiable earth location.,,31:05,35:30,point,2
cbb,1,welcome-to-comedy-bang-bang,2344,,Location,Scott and Rob Huebel visit the Michael Jackson auction in Beverly Hills,Identifiable earth location.,Michael Jackson,35:40,37:27,point,9
cbb,1,welcome-to-comedy-bang-bang,2344,,"a theme song is misremembered, misperformed",Three's Company,,"Three's Company, John Ritter",46:03,46:11,,
cbb,1,welcome-to-comedy-bang-bang,2344,,guest performs before they're announced,Thomas Lennon speaks before he has been announced.,,,3:04,5:45,,
cbb,10,comedy-vs-music,2377,,Who?,Scott has never heard of the show '30 Rock',,,8:29,8:36,,
cbb,10,comedy-vs-music,2377,,Location,Richard Leslie's Bakery for Dogs in L.A.'s Grove,,Richard Leslie,18:51,19:11,point,13
cbb,10,comedy-vs-music,2377,,guest performs before they're announced,Morgan Murphy corrects Scott before she's supposed to even be on.,,,2:39,2:59,,
cbb,10,comedy-vs-music,2377,,A Character's Premise is Explained or Questioned,Scott assures Richard Leslie that his premise is established.,,Richard Leslie,25:06,25:21,,
cbb,10,comedy-vs-music,2377,,Location,Todd Wickey needs a bus pass to make it out to Venice to check on his roller blades,Identifiable earth location.,Todd Wickey,54:15,54:35,point,15
cbb,10,comedy-vs-music,2377,,Batdance,Scott asks Aimee Mann if he can request Batdance at her shows.,,Prince,36:02,36:26,,
cbb,10,comedy-vs-music,2377,,Location,Todd Wickey needs money to make it up to Shasta for the fast pitch softball semifinals,Identifiable earth location.,Todd Wickey,48:56,49:29,poly,218
cbb,10,comedy-vs-music,2377,,Location,Scott was hounded by Todd Wickey near his place in Toluca Lake,Identifiable earth location.,Todd Wickey,48:20,48:50,poly,61
cbb,10,comedy-vs-music,2377,,Weirder Scott,The genesis of Weirder Scott,,Weird Al,1:01:07,1:01:30,,
cbb,10,comedy-vs-music,2377,,Somebody's Characters Cross-Pollinate,Scott notes that both Todd Wickey (Morris) and Richard Leslie (Morris) share interests in dog retail.,,"Richard Leslie, Todd Wickey",53:20,53:51,,
cbb,10,comedy-vs-music,2377,,How Many are There?,Morgan Murphy prompts Richard Leslie for additional imitators of his dog bakery business.,,Richard Leslie,19:03,19:30,,
cbb,100,the-big-one-oh-oh,2849,,addicted to heroin,Huebel again explains why the members of Human Giant are indisposed,,Human Giant,16:19,16:52,,
cbb,100,the-big-one-oh-oh,2849,,Batdance,,Scott's favorite song.,,11:56,12:17,,
cbb,101,booked-it,2888,,Some asshole talks over the WYR theme.,Casey Wilson hums along.,,Fred Phelps,46:56,47:03,,
cbb,101,booked-it,2888,,Some asshole talks over the WYR theme.,Casey Wilson seems to think the WYR theme is long.,,Fred Phelps,46:34,46:46,,
cbb,101,booked-it,2888,,Some asshole talks over the WYR theme.,Now *nobody* will shut the fuck up.,,Fred Phelps,1:05:50,1:06:24,,
cbb,101,booked-it,2888,,Some asshole talks over the WYR theme.,somebody coughs,,Fred Phelps,46:46,46:56,,
cbb,103,these-times-they-are-a-changin,2115,,"Yes, And...","Clive Dundee, strangely, has not written songs of his own.",,Clive Dundee,41:00,41:26,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,"Tompkins suggests everybody, not just Clive, relay how they got their last name.",a character detail is challenged or prompted,Clive Dundee,41:55,42:14,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Clive Dundee finally remembers the year of his birth.,a character detail is challenged or prompted,Clive Dundee,40:35,40:50,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Clive Dundee isn't sure if he says 'dinner' or 'supper.',a character detail is challenged or prompted,Clive Dundee,31:00,31:25,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Clive Dundee needs to confirm the questions he's asked.,a character detail is challenged or prompted,Clive Dundee,37:25,37:35,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Paul asks Clive Dundee in what year he received his driver's license.,a character detail is challenged or prompted,Clive Dundee,37:35,37:42,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Paul notices that Truck Bastien is never sure if he's being spoken to.,a character detail is challenged or prompted,Truck Bastien,54:52,55:11,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Scott and Paul interrogate Truck Bastien.,a character detail is challenged or prompted,Truck Bastien,54:32,54:53,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Scott asks Clive Dundee for his astrological sign.,a character detail is challenged or prompted,Clive Dundee,37:42,37:59,,
cbb,103,these-times-they-are-a-changin,2115,,Where are you from?,Scott asks Clive Dundee how old he is.,a character detail is challenged or prompted,Clive Dundee,36:41,37:34,,
cbb,103,these-times-they-are-a-changin,2115,,A Character is Addressed Using the Name of its Player,James?,,Huell Howser,1:52:19,1:52:43,,
cbb,103,these-times-they-are-a-changin,2115,,CBB's Open Door Policy,Paul has to remind Scott that the CBBODP should extend to Truck Bastien also.,,Truck Bastien,50:02,50:21,,
cbb,103,these-times-they-are-a-changin,2115,,Shut the Fuck Up!,Scott is growing weary of Truck Bastien's aphorisms.,Someone simply wants everyone else to shut the fuck up.,Truck Bastien,52:51,52:59,,
cbb,103,these-times-they-are-a-changin,2115,,That Already Happened,Tompkins directly references an attempt to live-edit the show,The verisimilitude of the show is referenced or challenged or completely destroyed.,Truck Bastien,52:33,52:52,,
cbb,104,shut-up-dracula,2892,,Some asshole talks over the WYR theme.,Even the esteemed Paul Feig won't shut up and show some respect.,,,54:40,54:58,,
cbb,105,comedy-is-honey,2929,,The Most Popular Feature of CBB.,Sappity doesn't believe.,Scott has to explain how legimately popular the plugs are.,Sappity Tappity,1:30:45,1:31:03,,
cbb,106.1,its-a-fucking-podcast-pt-1,2931,,How Many are There?,"Give us a couple, though.",,Cake Boss,24:02,24:42,,
cbb,106.1,its-a-fucking-podcast-pt-1,2931,,Who Said It: Michael Jackson,Hee-hee. Shamone. Where's Lisa Marie? Dah! Where 'dem elephant bones? Where's Macaulay? Dah! Shamone. Hoo. Where my glove? Hoo.,A Michael Jackson quote appears in a game of 'Who Said It?',Cake Boss,46:11,46:59,,
cbb,108,pussy-cpr,2944,,The Most Popular Feature of CBB.,"no stats, but Scott believes it",Scott has to explain how legimately popular the plugs are.,Dov Charney,1:02:49,1:03:01,,
cbb,109,the-andy-samberg-special,2952,the-andy-samberg-special,Classic WYR Blunder: Premature Election,Andy and Bro both get dangerously close.,,Bro,58:47,59:10,,
cbb,109,the-andy-samberg-special,2952,the-andy-samberg-special,I can hear every word you are saying.,Bro overhears Scott and Andy.,,Bro,31:42,32:23,,
cbb,11,birthday-checks,2425,,Somebody's Characters Cross-Pollinate,Rob Huebel's aggression reminds Scott of Officer Dick Butterfield (Huebel).,,Officer Dick Butterfield,48:49,49:07,,
cbb,11,birthday-checks,2425,,Someone Has to be Forced Into Their Bit,Doug Benson can't seem to remember something.,,,55:54,56:28,,
cbb,14,an-old-fashioned-dinner,2440,,Location,Danny Mahoney walked into Nordstrom and asked for their heaviest coat,Identifiable earth location.,Danny Mahoney,20:02,20:40,point,17
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter fires off a local reference - La Brea onto Franklin Av,Identifiable earth location.,Shooter,49:18,49:43,point,18
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter fires off a local reference - beautiful ladies at The Grove,Identifiable earth location.,Shooter,50:17,50:33,point,13
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter fires off a local reference - the girl in the glass display case at The Standard hotel,Identifiable earth location.,Shooter,50:40,51:10,point,20
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter fires off a local reference - Shooter's place smelled like Runyan Canyon when he returned from vacation,Identifiable earth location.,Shooter,51:31,51:51,point,22
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter fires off a local reference - Shooter's place smelled so bad it made the Hollywood Public Library smell like an aromatherapy session at Burke Williams,Identifiable earth location.,Shooter,51:31,51:56,point,23
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter fires off a local reference - Shooter's place smelled so bad it made the Hollywood Public Library smell like an aromatherapy session at Burke Williams,Identifiable earth location.,Shooter,51:31,51:56,point,24
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter fires off a local reference - asked a French guy how to say 'shitty service' in French.,Identifiable earth location.,Shooter,52:08,53:04,point,25
cbb,14,an-old-fashioned-dinner,2440,,Location,Comedian Shooter vacations in San Diego,Identifiable earth location.,Shooter,51:31,51:38,poly,63
cbb,14,an-old-fashioned-dinner,2440,,Boo,Andy Daly is neither host nor guest. Ghost.,Someone is confused about whether somebody else is haunting or heckling.,,9:53,10:54,,
cbb,13,jimmy-pardos-back,2439,,Somebody Gets Emotional,"Ice T maybe has a cold, actually.",,Ice T,40:39,41:26,,
cbb,11,birthday-checks,2425,,Weirder Scott,Scott describes his coup of Weird Al Yankovic.,,,37:57,38:12,,
cbb,113,skanking-hayride,2985,skanking-hayride,How Many are There?,Old ska bands.,,Ozzie Patinkin,57:07,57:51,,
cbb,115,the-plug-in-drug,2989,the-plug-in-drug,Classic WYR Blunder: The Floor is Not Yet Open,David Wain jumps the start.,,,51:12,51:37,,
cbb,115,the-plug-in-drug,2989,the-plug-in-drug,My wife!,Respectfully.,,,25:12,25:15,,
cbb,115,the-plug-in-drug,2989,the-plug-in-drug,Someone Needs the Services of a Tear Basin,A fountain is not dripping.,,,49:40,49:54,,
cbb,116,when-i-go-to-queens,2940,,Where are you from?,Scott wants to know what year Wompler's mom was born.,a character detail is challenged or prompted,Marissa Wompler,55:16,55:21,,
cbb,116,when-i-go-to-queens,2940,,Classic WYR Blunder: Premature Election,Wompler should know better.,,Marissa Wompler,1:09:27,1:09:38,,
cbb,116,when-i-go-to-queens,2940,,Some asshole talks over the WYR theme.,Cross is rude.,,Sam Darling,45:53,46:03,,
cbb,116,when-i-go-to-queens,2940,,Some asshole talks over the WYR theme.,FLeischer is rude.,,Sam Darling,45:45,45:50,,
