epno,time,tstart,tend,instance,bit,elucidation,soundcloud_url,tagarray,tagarray 1,tagarray 2,tagarray 3,tagarray 4,tagarray 5,tagarray 6,soundcloud_slug
186,xx:xx,31:23,31:30,"Mr. Marshall, I'm curious what –","Please call me ""Garry""",,,,Garry Marshall,,,,,,new-york-mainstays
186,xx:xx,31:30,31:35,Please. Call. Me. 'Garry.',"Please call me ""Garry""",,,,Garry Marshall,,,,,,new-york-mainstays
186,xx:xx,31:55,32:30,We find ourselves at a curious crossroad.,"Please call me ""Garry""",,,,Garry Marshall,,,,,,new-york-mainstays
1,xx:xx,19:55,20:17,John Ritter - John Ritter - John Ritter,Dah-bah-bow-wow,Three's Company|John Ritter
1,xx:xx,2:08,2:16,You're 1/3 of Human Giant or you're 1/5? Does Aziz get more?,Scott's Questions
1,xx:xx,4:21,4:26,When you created the show did you actually think of calling it "Reno Pearl Harbor"?,Scott's Questions,Reno 911 (TV)
1,xx:xx,38:42,38:44,How many pairs of Lt. Dangle shorts do you have, by the way?,Scott's Questions,Reno 911 (TV)
1,xx:xx,48:55,49:06,NASA? Really? You were going to record it in space?,Scott's Questions
1,xx:xx,49:06,49:14,YouTube?,Scott's Questions,U2
1,xx:xx,49:06,49:14,When does Human Giant coming back on the air - tomorrow?,Scott's Questions,U2
2,xx:xx,37:10,37:19,"That is some sort of Asian - I don't know, we've never talked about that.",Some Sort of Asian,Kulap
2,xx:xx,41:14,41:20,Does he play Madea in space?,Scott's Questions,Madea
3,xx:xx,30:50,30:57,The American Broadcasting Company.,Group Coupon
6,xx:xx,12:14,12:20,Why are you calling me with this?,Scott's Questions,James Gandolfini
97,xx:xx,50:10,50:29,They were just lists of words that rhymed.,Ducca Poem,Bob Ducca
7,xx:xx,33:27,33:32,Before we get to that, Randy, I just wanna clear one thing up: you looked at your baby and said what?,Scott's Questions,Jerry Jimson
8,xx:xx,2:45,2:53,"How is Booger doing, by the way?",Scott's Questions
8,xx:xx,20:25,20:32,Have you ever considered recutting that song to include a verse about his recent divorce?,Scott's Questions,Billy Joel
8,xx:xx,21:55,22:09,Did you get permission from Ian Asterbury?,Scott's Questions,The Doors|Jim Morrison|Ian Astbury
9,xx:xx,11:39,12:16,I'm being tickled by clouds.,She's Not Okay,Michael Jackson

,xx:xx,,,,,,,,,,,,,,
